"Time","avg(D2_density)","avg(D2p_density)","avg(D_density)","avg(Dp_density)","avg(RDS1)","avg(RDS2)","avg(RDS3)","avg(RDS4)","avg(REI1)","avg(REI2)","avg(REI3)","avg(RFS1)","avg(RRC)","avg(SD)","avg(SD2)","avg(SD2p)","avg(SDp)","avg(Sem)","avg(Tp_density)","avg(em_density)","avg(kDS1)","avg(kDS2)","avg(kDS3)","avg(kDS4)","avg(kEI1)","avg(kEI2)","avg(kEI3)","avg(kFS1)","avg(kRC)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,1.00000e+08,9.97641e+15,1.00081e+16,1.00259e+20,5.31474e+13,3.46624e+13,1.05028e+23,3.89094e+20,3.73324e+22,5.48682e+14,1.67211e+22,2.01955e+10,9.19950e+18,6.84830e+22,-6.36492e+14,-1.22138e+23,1.75794e+23,5.36553e+22,9.99668e+00,1.00066e+20,5.31124e-15,3.46395e-15,1.05207e-13,3.89756e-16,3.72778e-14,5.48320e-14,1.67496e-14,2.00912e-30,9.16966e-22
2.00000e-02,1.00000e+08,9.95620e+15,1.00194e+16,1.00552e+20,5.31884e+13,3.46995e+13,1.04907e+23,3.88496e+20,3.74120e+22,5.49205e+14,1.67044e+22,2.03138e+10,9.23446e+18,6.82813e+22,-6.37092e+14,-1.22000e+23,1.75719e+23,5.37187e+22,9.99668e+00,1.00155e+20,5.31060e-15,3.46457e-15,1.05205e-13,3.89600e-16,3.72815e-14,5.48353e-14,1.67519e-14,2.00912e-30,9.16948e-22
3.00000e-02,1.00000e+08,9.93605e+15,1.00308e+16,1.00846e+20,5.32295e+13,3.47366e+13,1.04787e+23,3.87899e+20,3.74916e+22,5.49728e+14,1.66878e+22,2.04328e+10,9.26955e+18,6.80800e+22,-6.37694e+14,-1.21862e+23,1.75644e+23,5.37823e+22,9.99668e+00,1.00245e+20,5.30996e-15,3.46518e-15,1.05203e-13,3.89443e-16,3.72853e-14,5.48386e-14,1.67542e-14,2.00912e-30,9.16931e-22
4.00000e-02,1.00000e+08,9.91596e+15,1.00421e+16,1.01141e+20,5.32707e+13,3.47739e+13,1.04666e+23,3.87305e+20,3.75714e+22,5.50253e+14,1.66712e+22,2.05524e+10,9.30478e+18,6.78790e+22,-6.38298e+14,-1.21725e+23,1.75571e+23,5.38460e+22,9.99668e+00,1.00334e+20,5.30931e-15,3.46580e-15,1.05202e-13,3.89286e-16,3.72890e-14,5.48419e-14,1.67565e-14,2.00912e-30,9.16913e-22
5.00000e-02,1.00000e+08,9.89593e+15,1.00534e+16,1.01437e+20,5.33119e+13,3.48112e+13,1.04547e+23,3.86713e+20,3.76512e+22,5.50779e+14,1.66548e+22,2.06726e+10,9.34014e+18,6.76785e+22,-6.38902e+14,-1.21588e+23,1.75498e+23,5.39099e+22,9.99668e+00,1.00424e+20,5.30867e-15,3.46641e-15,1.05200e-13,3.89129e-16,3.72928e-14,5.48452e-14,1.67588e-14,2.00912e-30,9.16895e-22
6.00000e-02,1.00000e+08,9.87597e+15,1.00647e+16,1.01733e+20,5.33533e+13,3.48486e+13,1.04428e+23,3.86123e+20,3.77311e+22,5.51306e+14,1.66384e+22,2.07935e+10,9.37563e+18,6.74783e+22,-6.39508e+14,-1.21452e+23,1.75426e+23,5.39740e+22,9.99668e+00,1.00514e+20,5.30802e-15,3.46703e-15,1.05198e-13,3.88971e-16,3.72966e-14,5.48485e-14,1.67611e-14,2.00912e-30,9.16877e-22
7.00000e-02,1.00000e+08,9.85607e+15,1.00760e+16,1.02030e+20,5.33947e+13,3.48861e+13,1.04309e+23,3.85535e+20,3.78111e+22,5.51834e+14,1.66220e+22,2.09151e+10,9.41125e+18,6.72785e+22,-6.40115e+14,-1.21317e+23,1.75355e+23,5.40382e+22,9.99668e+00,1.00605e+20,5.30737e-15,3.46765e-15,1.05196e-13,3.88814e-16,3.73004e-14,5.48518e-14,1.67634e-14,2.00912e-30,9.16860e-22
8.00000e-02,1.00000e+08,9.83623e+15,1.00873e+16,1.02327e+20,5.34361e+13,3.49237e+13,1.04191e+23,3.84949e+20,3.78912e+22,5.52364e+14,1.66058e+22,2.10373e+10,9.44701e+18,6.70792e+22,-6.40724e+14,-1.21182e+23,1.75284e+23,5.41026e+22,9.99668e+00,1.00695e+20,5.30673e-15,3.46827e-15,1.05195e-13,3.88656e-16,3.73041e-14,5.48551e-14,1.67657e-14,2.00912e-30,9.16842e-22
9.00000e-02,1.00000e+08,9.81646e+15,1.00985e+16,1.02626e+20,5.34777e+13,3.49614e+13,1.04073e+23,3.84364e+20,3.79714e+22,5.52894e+14,1.65896e+22,2.11602e+10,9.48290e+18,6.68802e+22,-6.41333e+14,-1.21047e+23,1.75215e+23,5.41672e+22,9.99668e+00,1.00786e+20,5.30608e-15,3.46889e-15,1.05193e-13,3.88498e-16,3.73079e-14,5.48584e-14,1.67680e-14,2.00912e-30,9.16824e-22
