"Time","avg(D2_density)","avg(D2p_density)","avg(D_density)","avg(Dp_density)","avg(RDS1)","avg(RDS2)","avg(RDS3)","avg(RDS4)","avg(REI1)","avg(REI2)","avg(REI3)","avg(RFS1)","avg(RRC)","avg(SD)","avg(SD2)","avg(SD2p)","avg(SDp)","avg(Sem)","avg(Tp_density)","avg(em_density)","avg(kDS1)","avg(kDS2)","avg(kDS3)","avg(kDS4)","avg(kEI1)","avg(kEI2)","avg(kEI3)","avg(kFS1)","avg(kRC)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,5.00000e+12,2.39920e+12,9.99050e+15,1.00029e+20,2.65652e+18,1.73235e+18,2.52487e+19,9.35530e+16,3.72515e+22,2.74232e+19,4.01950e+18,2.01028e+10,9.17500e+18,-3.72098e+22,-3.18121e+19,-1.93856e+18,3.72773e+22,3.72754e+22,9.99668e+00,1.00029e+20,5.31151e-15,3.46370e-15,1.05208e-13,3.89822e-16,3.72762e-14,5.48307e-14,1.67487e-14,2.00912e-30,9.16973e-22
2.00000e-02,5.00000e+12,2.39920e+12,9.98432e+15,1.00091e+20,2.65794e+18,1.73363e+18,2.52641e+19,9.35848e+16,3.72541e+22,2.74413e+19,4.02237e+18,2.01277e+10,9.18625e+18,-3.72124e+22,-3.18329e+19,-1.93868e+18,3.72800e+22,3.72780e+22,9.99668e+00,1.00091e+20,5.31106e-15,3.46412e-15,1.05206e-13,3.89713e-16,3.72788e-14,5.48329e-14,1.67502e-14,2.00912e-30,9.16961e-22
3.00000e-02,5.00000e+12,2.39920e+12,9.97815e+15,1.00153e+20,2.65936e+18,1.73492e+18,2.52794e+19,9.36167e+16,3.72568e+22,2.74595e+19,4.02524e+18,2.01527e+10,9.19752e+18,-3.72150e+22,-3.18538e+19,-1.93880e+18,3.72826e+22,3.72807e+22,9.99668e+00,1.00153e+20,5.31062e-15,3.46455e-15,1.05205e-13,3.89604e-16,3.72814e-14,5.48352e-14,1.67518e-14,2.00912e-30,9.16949e-22
4.00000e-02,5.00000e+12,2.39920e+12,9.97198e+15,1.00215e+20,2.66079e+18,1.73621e+18,2.52948e+19,9.36485e+16,3.72594e+22,2.74776e+19,4.02812e+18,2.01776e+10,9.20880e+18,-3.72177e+22,-3.18746e+19,-1.93892e+18,3.72853e+22,3.72833e+22,9.99668e+00,1.00215e+20,5.31017e-15,3.46497e-15,1.05204e-13,3.89495e-16,3.72840e-14,5.48375e-14,1.67534e-14,2.00912e-30,9.16937e-22
5.00000e-02,5.00000e+12,2.39920e+12,9.96582e+15,1.00277e+20,2.66221e+18,1.73750e+18,2.53102e+19,9.36803e+16,3.72620e+22,2.74958e+19,4.03099e+18,2.02027e+10,9.22009e+18,-3.72203e+22,-3.18955e+19,-1.93903e+18,3.72879e+22,3.72860e+22,9.99668e+00,1.00277e+20,5.30973e-15,3.46540e-15,1.05203e-13,3.89387e-16,3.72866e-14,5.48398e-14,1.67550e-14,2.00912e-30,9.16924e-22
6.00000e-02,5.00000e+12,2.39920e+12,9.95965e+15,1.00339e+20,2.66364e+18,1.73879e+18,2.53255e+19,9.37122e+16,3.72647e+22,2.75140e+19,4.03387e+18,2.02277e+10,9.23140e+18,-3.72229e+22,-3.19164e+19,-1.93915e+18,3.72906e+22,3.72886e+22,9.99668e+00,1.00339e+20,5.30928e-15,3.46583e-15,1.05202e-13,3.89278e-16,3.72892e-14,5.48421e-14,1.67566e-14,2.00912e-30,9.16912e-22
7.00000e-02,5.00000e+12,2.39920e+12,9.95350e+15,1.00401e+20,2.66507e+18,1.74008e+18,2.53409e+19,9.37441e+16,3.72673e+22,2.75322e+19,4.03676e+18,2.02528e+10,9.24272e+18,-3.72255e+22,-3.19373e+19,-1.93926e+18,3.72932e+22,3.72913e+22,9.99668e+00,1.00401e+20,5.30883e-15,3.46625e-15,1.05200e-13,3.89169e-16,3.72918e-14,5.48443e-14,1.67582e-14,2.00912e-30,9.16900e-22
8.00000e-02,5.00000e+12,2.39920e+12,9.94734e+15,1.00464e+20,2.66649e+18,1.74137e+18,2.53563e+19,9.37759e+16,3.72700e+22,2.75504e+19,4.03964e+18,2.02779e+10,9.25406e+18,-3.72281e+22,-3.19583e+19,-1.93937e+18,3.72959e+22,3.72939e+22,9.99668e+00,1.00463e+20,5.30839e-15,3.46668e-15,1.05199e-13,3.89060e-16,3.72944e-14,5.48466e-14,1.67598e-14,2.00912e-30,9.16888e-22
9.00000e-02,5.00000e+12,2.39920e+12,9.94119e+15,1.00526e+20,2.66792e+18,1.74267e+18,2.53718e+19,9.38078e+16,3.72726e+22,2.75686e+19,4.04253e+18,2.03031e+10,9.26541e+18,-3.72307e+22,-3.19792e+19,-1.93949e+18,3.72985e+22,3.72966e+22,9.99668e+00,1.00526e+20,5.30794e-15,3.46711e-15,1.05198e-13,3.88952e-16,3.72971e-14,5.48489e-14,1.67614e-14,2.00912e-30,9.16875e-22
1.00000e-01,5.00000e+12,2.39920e+12,9.93504e+15,1.00588e+20,2.66935e+18,1.74396e+18,2.53872e+19,9.38397e+16,3.72753e+22,2.75868e+19,4.04542e+18,2.03282e+10,9.27678e+18,-3.72333e+22,-3.20002e+19,-1.93960e+18,3.73012e+22,3.72993e+22,9.99668e+00,1.00588e+20,5.30749e-15,3.46753e-15,1.05197e-13,3.88843e-16,3.72997e-14,5.48512e-14,1.67630e-14,2.00912e-30,9.16863e-22
1.10000e-01,5.00000e+12,2.39920e+12,9.92889e+15,1.00650e+20,2.67078e+18,1.74526e+18,2.54026e+19,9.38716e+16,3.72779e+22,2.76051e+19,4.04831e+18,2.03535e+10,9.28816e+18,-3.72359e+22,-3.20211e+19,-1.93971e+18,3.73039e+22,3.73019e+22,9.99668e+00,1.00650e+20,5.30705e-15,3.46796e-15,1.05195e-13,3.88734e-16,3.73023e-14,5.48535e-14,1.67646e-14,2.00912e-30,9.16851e-22
1.20000e-01,5.00000e+12,2.39920e+12,9.92275e+15,1.00713e+20,2.67221e+18,1.74655e+18,2.54181e+19,9.39035e+16,3.72805e+22,2.76234e+19,4.05121e+18,2.03787e+10,9.29956e+18,-3.72385e+22,-3.20421e+19,-1.93982e+18,3.73065e+22,3.73046e+22,9.99668e+00,1.00713e+20,5.30660e-15,3.46839e-15,1.05194e-13,3.88625e-16,3.73049e-14,5.48557e-14,1.67662e-14,2.00912e-30,9.16838e-22
1.30000e-01,5.00000e+12,2.39920e+12,9.91661e+15,1.00775e+20,2.67364e+18,1.74785e+18,2.54335e+19,9.39355e+16,3.72832e+22,2.76416e+19,4.05410e+18,2.04040e+10,9.31097e+18,-3.72412e+22,-3.20631e+19,-1.93993e+18,3.73092e+22,3.73072e+22,9.99668e+00,1.00775e+20,5.30615e-15,3.46882e-15,1.05193e-13,3.88517e-16,3.73075e-14,5.48580e-14,1.67677e-14,2.00912e-30,9.16826e-22
1.40000e-01,5.00000e+12,2.39920e+12,9.91048e+15,1.00838e+20,2.67508e+18,1.74915e+18,2.54490e+19,9.39674e+16,3.72858e+22,2.76599e+19,4.05700e+18,2.04293e+10,9.32239e+18,-3.72438e+22,-3.20842e+19,-1.94004e+18,3.73118e+22,3.73099e+22,9.99668e+00,1.00838e+20,5.30571e-15,3.46924e-15,1.05192e-13,3.88408e-16,3.73101e-14,5.48603e-14,1.67693e-14,2.00912e-30,9.16814e-22
1.50000e-01,5.00000e+12,2.39920e+12,9.90435e+15,1.00900e+20,2.67651e+18,1.75045e+18,2.54645e+19,9.39993e+16,3.72885e+22,2.76782e+19,4.05990e+18,2.04547e+10,9.33384e+18,-3.72464e+22,-3.21052e+19,-1.94015e+18,3.73145e+22,3.73126e+22,9.99668e+00,1.00900e+20,5.30526e-15,3.46967e-15,1.05191e-13,3.88299e-16,3.73127e-14,5.48626e-14,1.67709e-14,2.00912e-30,9.16801e-22
1.60000e-01,5.00000e+12,2.39920e+12,9.89822e+15,1.00963e+20,2.67794e+18,1.75175e+18,2.54800e+19,9.40313e+16,3.72911e+22,2.76966e+19,4.06281e+18,2.04800e+10,9.34529e+18,-3.72490e+22,-3.21262e+19,-1.94026e+18,3.73172e+22,3.73152e+22,9.99668e+00,1.00963e+20,5.30481e-15,3.47010e-15,1.05189e-13,3.88191e-16,3.73153e-14,5.48649e-14,1.67725e-14,2.00912e-30,9.16789e-22
1.70000e-01,5.00000e+12,2.39920e+12,9.89209e+15,1.01026e+20,2.67938e+18,1.75306e+18,2.54955e+19,9.40632e+16,3.72938e+22,2.77149e+19,4.06571e+18,2.05055e+10,9.35676e+18,-3.72516e+22,-3.21473e+19,-1.94036e+18,3.73198e+22,3.73179e+22,9.99668e+00,1.01025e+20,5.30436e-15,3.47053e-15,1.05188e-13,3.88082e-16,3.73180e-14,5.48672e-14,1.67741e-14,2.00912e-30,9.16777e-22
1.80000e-01,5.00000e+12,2.39920e+12,9.88597e+15,1.01088e+20,2.68081e+18,1.75436e+18,2.55110e+19,9.40952e+16,3.72964e+22,2.77332e+19,4.06862e+18,2.05309e+10,9.36825e+18,-3.72543e+22,-3.21684e+19,-1.94047e+18,3.73225e+22,3.73205e+22,9.99668e+00,1.01088e+20,5.30391e-15,3.47095e-15,1.05187e-13,3.87973e-16,3.73206e-14,5.48695e-14,1.67757e-14,2.00912e-30,9.16765e-22
