"Time","avg(D2_density)","avg(D2p_density)","avg(D_density)","avg(Dp_density)","avg(RDS1)","avg(RDS2)","avg(RDS3)","avg(RDS4)","avg(REI1)","avg(REI2)","avg(REI3)","avg(RFS1)","avg(RRC)","avg(SD)","avg(SD2)","avg(SD2p)","avg(SDp)","avg(Sem)","avg(Tp_density)","avg(em_density)","avg(kDS1)","avg(kDS2)","avg(kDS3)","avg(kDS4)","avg(kEI1)","avg(kEI2)","avg(kEI3)","avg(kFS1)","avg(kRC)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,1.00000e+12,5.99801e+11,9.99050e+15,1.00029e+20,5.31303e+17,3.46469e+17,6.31218e+18,2.33883e+16,3.72515e+22,5.48464e+18,1.00487e+18,2.01028e+10,9.17500e+18,-3.72345e+22,-6.36241e+18,-1.85580e+18,3.72509e+22,3.72491e+22,9.99668e+00,1.00029e+20,5.31151e-15,3.46370e-15,1.05208e-13,3.89822e-16,3.72762e-14,5.48307e-14,1.67487e-14,2.00912e-30,9.16973e-22
2.00000e-02,1.00000e+12,5.99801e+11,9.98432e+15,1.00091e+20,5.31587e+17,3.46726e+17,6.31601e+18,2.33962e+16,3.72541e+22,5.48826e+18,1.00559e+18,2.01277e+10,9.18624e+18,-3.72371e+22,-6.36658e+18,-1.85674e+18,3.72536e+22,3.72517e+22,9.99668e+00,1.00091e+20,5.31106e-15,3.46412e-15,1.05207e-13,3.89713e-16,3.72788e-14,5.48329e-14,1.67502e-14,2.00912e-30,9.16961e-22
3.00000e-02,1.00000e+12,5.99801e+11,9.97814e+15,1.00153e+20,5.31872e+17,3.46983e+17,6.31985e+18,2.34042e+16,3.72567e+22,5.49189e+18,1.00631e+18,2.01526e+10,9.19750e+18,-3.72397e+22,-6.37074e+18,-1.85767e+18,3.72562e+22,3.72543e+22,9.99668e+00,1.00153e+20,5.31062e-15,3.46455e-15,1.05205e-13,3.89604e-16,3.72814e-14,5.48352e-14,1.67518e-14,2.00912e-30,9.16949e-22
4.00000e-02,1.00000e+12,5.99801e+11,9.97197e+15,1.00215e+20,5.32157e+17,3.47241e+17,6.32369e+18,2.34121e+16,3.72593e+22,5.49552e+18,1.00703e+18,2.01776e+10,9.20877e+18,-3.72423e+22,-6.37492e+18,-1.85861e+18,3.72588e+22,3.72569e+22,9.99668e+00,1.00215e+20,5.31017e-15,3.46497e-15,1.05204e-13,3.89496e-16,3.72840e-14,5.48375e-14,1.67534e-14,2.00912e-30,9.16937e-22
5.00000e-02,1.00000e+12,5.99801e+11,9.96580e+15,1.00277e+20,5.32442e+17,3.47499e+17,6.32753e+18,2.34201e+16,3.72619e+22,5.49915e+18,1.00775e+18,2.02026e+10,9.22005e+18,-3.72449e+22,-6.37909e+18,-1.85955e+18,3.72614e+22,3.72595e+22,9.99668e+00,1.00277e+20,5.30973e-15,3.46540e-15,1.05203e-13,3.89387e-16,3.72866e-14,5.48398e-14,1.67550e-14,2.00912e-30,9.16924e-22
6.00000e-02,1.00000e+12,5.99801e+11,9.95963e+15,1.00339e+20,5.32727e+17,3.47757e+17,6.33138e+18,2.34280e+16,3.72645e+22,5.50278e+18,1.00847e+18,2.02276e+10,9.23136e+18,-3.72475e+22,-6.38327e+18,-1.86049e+18,3.72640e+22,3.72621e+22,9.99668e+00,1.00339e+20,5.30928e-15,3.46583e-15,1.05202e-13,3.89278e-16,3.72892e-14,5.48420e-14,1.67566e-14,2.00912e-30,9.16912e-22
7.00000e-02,1.00000e+12,5.99801e+11,9.95347e+15,1.00401e+20,5.33012e+17,3.48015e+17,6.33522e+18,2.34360e+16,3.72671e+22,5.50642e+18,1.00919e+18,2.02527e+10,9.24267e+18,-3.72501e+22,-6.38745e+18,-1.86143e+18,3.72666e+22,3.72647e+22,9.99668e+00,1.00401e+20,5.30884e-15,3.46625e-15,1.05200e-13,3.89170e-16,3.72918e-14,5.48443e-14,1.67582e-14,2.00912e-30,9.16900e-22
8.00000e-02,1.00000e+12,5.99801e+11,9.94731e+15,1.00463e+20,5.33297e+17,3.48273e+17,6.33907e+18,2.34440e+16,3.72697e+22,5.51006e+18,1.00991e+18,2.02778e+10,9.25400e+18,-3.72527e+22,-6.39163e+18,-1.86236e+18,3.72692e+22,3.72673e+22,9.99668e+00,1.00463e+20,5.30839e-15,3.46668e-15,1.05199e-13,3.89061e-16,3.72944e-14,5.48466e-14,1.67598e-14,2.00912e-30,9.16888e-22
9.00000e-02,1.00000e+12,5.99801e+11,9.94115e+15,1.00525e+20,5.33583e+17,3.48532e+17,6.34293e+18,2.34519e+16,3.72724e+22,5.51370e+18,1.01063e+18,2.03029e+10,9.26535e+18,-3.72553e+22,-6.39582e+18,-1.86330e+18,3.72718e+22,3.72699e+22,9.99668e+00,1.00525e+20,5.30794e-15,3.46710e-15,1.05198e-13,3.88952e-16,3.72970e-14,5.48489e-14,1.67614e-14,2.00912e-30,9.16875e-22
