"Time","avg(D+_density)","avg(D_density)","avg(em_density)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,1.00015e+14,9.99182e+21,1.00015e+14
2.00000e-02,1.00064e+14,9.98696e+21,1.00064e+14
3.00000e-02,1.00113e+14,9.98211e+21,1.00113e+14
4.00000e-02,1.00161e+14,9.97726e+21,1.00161e+14
5.00000e-02,1.00210e+14,9.97241e+21,1.00210e+14
6.00000e-02,1.00259e+14,9.96756e+21,1.00259e+14
7.00000e-02,1.00308e+14,9.96272e+21,1.00308e+14
8.00000e-02,1.00356e+14,9.95788e+21,1.00356e+14
9.00000e-02,1.00405e+14,9.95304e+21,1.00405e+14
1.00000e-01,1.00454e+14,9.94820e+21,1.00454e+14
1.10000e-01,1.00503e+14,9.94337e+21,1.00503e+14
1.20000e-01,1.00552e+14,9.93853e+21,1.00552e+14
1.30000e-01,1.00601e+14,9.93370e+21,1.00601e+14
1.40000e-01,1.00649e+14,9.92888e+21,1.00649e+14
1.50000e-01,1.00698e+14,9.92405e+21,1.00698e+14
1.60000e-01,1.00747e+14,9.91923e+21,1.00747e+14
1.70000e-01,1.00796e+14,9.91441e+21,1.00796e+14
1.80000e-01,1.00845e+14,9.90959e+21,1.00845e+14
1.90000e-01,1.00894e+14,9.90477e+21,1.00894e+14
2.00000e-01,1.00943e+14,9.89996e+21,1.00943e+14
2.10000e-01,1.00993e+14,9.89515e+21,1.00993e+14
2.20000e-01,1.01042e+14,9.89034e+21,1.01042e+14
2.30000e-01,1.01091e+14,9.88553e+21,1.01091e+14
2.40000e-01,1.01140e+14,9.88073e+21,1.01140e+14
2.50000e-01,1.01189e+14,9.87593e+21,1.01189e+14
2.60000e-01,1.01238e+14,9.87113e+21,1.01238e+14
2.70000e-01,1.01288e+14,9.86633e+21,1.01288e+14
2.80000e-01,1.01337e+14,9.86153e+21,1.01337e+14
2.90000e-01,1.01386e+14,9.85674e+21,1.01386e+14
3.00000e-01,1.01435e+14,9.85195e+21,1.01435e+14
3.10000e-01,1.01485e+14,9.84716e+21,1.01485e+14
3.20000e-01,1.01534e+14,9.84238e+21,1.01534e+14
3.30000e-01,1.01583e+14,9.83759e+21,1.01583e+14
3.40000e-01,1.01633e+14,9.83281e+21,1.01633e+14
3.50000e-01,1.01682e+14,9.82803e+21,1.01682e+14
3.60000e-01,1.01732e+14,9.82326e+21,1.01732e+14
3.70000e-01,1.01781e+14,9.81848e+21,1.01781e+14
3.80000e-01,1.01831e+14,9.81371e+21,1.01831e+14
3.90000e-01,1.01880e+14,9.80894e+21,1.01880e+14
4.00000e-01,1.01930e+14,9.80418e+21,1.01930e+14
4.10000e-01,1.01979e+14,9.79941e+21,1.01979e+14
4.20000e-01,1.02029e+14,9.79465e+21,1.02029e+14
