"Time","avg(D+_density)","avg(D_density)","avg(em_density)","avg(ionization_rate)","avg(recombination_rate)"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
1.00000e-02,1.00012e+14,9.99213e+21,1.00012e+14,2.73964e-14,9.66124e-22
2.00000e-02,1.00058e+14,9.98759e+21,1.00058e+14,2.73962e-14,9.66133e-22
3.00000e-02,1.00103e+14,9.98304e+21,1.00103e+14,2.73960e-14,9.66142e-22
4.00000e-02,1.00149e+14,9.97850e+21,1.00149e+14,2.73958e-14,9.66151e-22
5.00000e-02,1.00194e+14,9.97397e+21,1.00194e+14,2.73956e-14,9.66161e-22
6.00000e-02,1.00240e+14,9.96943e+21,1.00240e+14,2.73954e-14,9.66170e-22
7.00000e-02,1.00286e+14,9.96489e+21,1.00286e+14,2.73952e-14,9.66179e-22
8.00000e-02,1.00331e+14,9.96036e+21,1.00331e+14,2.73950e-14,9.66188e-22
9.00000e-02,1.00377e+14,9.95583e+21,1.00377e+14,2.73948e-14,9.66197e-22
1.00000e-01,1.00423e+14,9.95130e+21,1.00423e+14,2.73946e-14,9.66206e-22
1.10000e-01,1.00468e+14,9.94678e+21,1.00468e+14,2.73944e-14,9.66216e-22
1.20000e-01,1.00514e+14,9.94226e+21,1.00514e+14,2.73942e-14,9.66225e-22
1.30000e-01,1.00560e+14,9.93773e+21,1.00560e+14,2.73940e-14,9.66234e-22
1.40000e-01,1.00605e+14,9.93321e+21,1.00605e+14,2.73938e-14,9.66243e-22
1.50000e-01,1.00651e+14,9.92870e+21,1.00651e+14,2.73937e-14,9.66252e-22
1.60000e-01,1.00697e+14,9.92418e+21,1.00697e+14,2.73935e-14,9.66261e-22
1.70000e-01,1.00743e+14,9.91967e+21,1.00743e+14,2.73933e-14,9.66270e-22
1.80000e-01,1.00789e+14,9.91516e+21,1.00789e+14,2.73931e-14,9.66279e-22
1.90000e-01,1.00835e+14,9.91065e+21,1.00835e+14,2.73929e-14,9.66288e-22
2.00000e-01,1.00880e+14,9.90614e+21,1.00880e+14,2.73927e-14,9.66297e-22
2.10000e-01,1.00926e+14,9.90163e+21,1.00926e+14,2.73925e-14,9.66306e-22
2.20000e-01,1.00972e+14,9.89713e+21,1.00972e+14,2.73923e-14,9.66316e-22
2.30000e-01,1.01018e+14,9.89263e+21,1.01018e+14,2.73921e-14,9.66325e-22
2.40000e-01,1.01064e+14,9.88813e+21,1.01064e+14,2.73919e-14,9.66334e-22
2.50000e-01,1.01110e+14,9.88364e+21,1.01110e+14,2.73917e-14,9.66343e-22
2.60000e-01,1.01156e+14,9.87914e+21,1.01156e+14,2.73915e-14,9.66352e-22
2.70000e-01,1.01202e+14,9.87465e+21,1.01202e+14,2.73913e-14,9.66361e-22
2.80000e-01,1.01248e+14,9.87016e+21,1.01248e+14,2.73911e-14,9.66370e-22
2.90000e-01,1.01294e+14,9.86567e+21,1.01294e+14,2.73910e-14,9.66379e-22
3.00000e-01,1.01340e+14,9.86118e+21,1.01340e+14,2.73908e-14,9.66388e-22
3.10000e-01,1.01386e+14,9.85670e+21,1.01386e+14,2.73906e-14,9.66397e-22
3.20000e-01,1.01433e+14,9.85222e+21,1.01433e+14,2.73904e-14,9.66406e-22
